cotacaoCompra,cotacaoVenda,dataHoraCotacao
"3,1617","3,1623",2017-03-10 13:06:40.688
"3,1535","3,1541",2017-03-13 13:03:09.637
"3,1633","3,1639",2017-03-14 13:08:15.562
"3,1623","3,1629",2017-03-15 13:08:35.316
"3,1074","3,108",2017-03-16 13:10:52.126
"3,1069","3,1075",2017-03-17 13:05:02.642
"3,0892","3,0898",2017-03-20 13:10:47.051
"3,0759","3,0765",2017-03-21 13:03:42.922
"3,0933","3,0939",2017-03-22 13:02:37.397
"3,1242","3,1248",2017-03-23 13:11:51.958
"3,1276","3,1282",2017-03-24 13:05:41.423
"3,125","3,1256",2017-03-27 13:09:39.543
"3,1297","3,1303",2017-03-28 13:05:53.887
"3,1223","3,1229",2017-03-29 13:07:50.06
"3,1241","3,1247",2017-03-30 13:04:37.167
"3,1678","3,1684",2017-03-31 13:04:37.024
"3,1161","3,1167",2017-04-03 13:11:51.252
"3,1225","3,1231",2017-04-04 13:14:37.607
"3,0917","3,0923",2017-04-05 13:09:36.589
"3,1154","3,116",2017-04-06 13:03:01.171
"3,1296","3,1302",2017-04-07 13:04:41.774
"3,1403","3,1409",2017-04-10 13:04:10.183
"3,1418","3,1424",2017-04-11 13:12:29.768
"3,1457","3,1463",2017-04-12 13:06:48.766
"3,1263","3,1269",2017-04-13 13:09:28.107
"3,103","3,1036",2017-04-17 13:05:51.148
"3,0952","3,0958",2017-04-18 13:11:11.625
"3,1288","3,1294",2017-04-19 13:09:50.695
"3,1447","3,1453",2017-04-20 13:10:38.938
"3,1245","3,1251",2017-04-24 13:06:53.08
"3,1571","3,1577",2017-04-25 13:12:37.494
"3,1841","3,1847",2017-04-26 13:02:41.795
"3,1757","3,1763",2017-04-27 13:04:42.331
"3,1978","3,1984",2017-04-28 13:10:52.336
"3,1718","3,1724",2017-05-02 13:05:31.845
"3,1483","3,1489",2017-05-03 13:11:44.442
"3,1774","3,178",2017-05-04 13:06:37.798
"3,1758","3,1764",2017-05-05 13:10:18.101
"3,1932","3,1938",2017-05-08 13:09:42.404
"3,1851","3,1857",2017-05-09 13:07:46.101
"3,16","3,1606",2017-05-10 13:02:56.565
"3,1553","3,1559",2017-05-11 13:09:03.951
"3,1284","3,129",2017-05-12 13:09:38.952
"3,1005","3,1011",2017-05-15 13:10:14.948
"3,0918","3,0924",2017-05-16 13:06:34.653
"3,107","3,1076",2017-05-17 13:12:09.748
"3,3756","3,3807",2017-05-18 13:05:58.487
"3,2872","3,2878",2017-05-19 13:11:29.308
"3,2857","3,2863",2017-05-22 13:07:00.554
"3,2648","3,2654",2017-05-23 13:02:54.33
"3,2623","3,2629",2017-05-24 13:07:42.187
"3,2818","3,2824",2017-05-25 13:02:59.753
"3,2608","3,2614",2017-05-26 13:06:53.597
"3,2703","3,2709",2017-05-29 13:09:25.777
"3,2653","3,2659",2017-05-30 13:07:25.626
"3,2431","3,2437",2017-05-31 13:07:50.415
"3,2301","3,2307",2017-06-01 13:09:48.76
"3,2395","3,2401",2017-06-02 13:04:05.317
"3,2814","3,282",2017-06-05 13:05:00.105
"3,2811","3,2817",2017-06-06 13:03:50.101
"3,2741","3,2747",2017-06-07 13:10:02.741
"3,2832","3,2838",2017-06-08 13:09:17.114
"3,2734","3,274",2017-06-09 13:06:44.063
"3,298","3,2986",2017-06-12 13:10:22.504
"3,3202","3,3208",2017-06-13 13:07:17.021
"3,283","3,2836",2017-06-14 13:05:49.215
"3,2886","3,2892",2017-06-16 13:09:51.845
"3,2969","3,2975",2017-06-19 13:09:35.161
"3,3139","3,3145",2017-06-20 13:09:57.194
"3,3241","3,3247",2017-06-21 13:06:38.103
"3,3356","3,3362",2017-06-22 13:11:48.369
"3,3336","3,3342",2017-06-23 13:05:41.49
"3,3122","3,3128",2017-06-26 13:03:38.941
"3,3166","3,3172",2017-06-27 13:10:03.464
"3,3024","3,303",2017-06-28 13:09:53.266
"3,2946","3,2952",2017-06-29 13:08:49.398
"3,3076","3,3082",2017-06-30 13:07:06.19
"3,3009","3,3015",2017-07-03 13:08:51.099
"3,3044","3,305",2017-07-04 13:09:38.583
"3,3187","3,3193",2017-07-05 13:07:52.841
"3,3058","3,3064",2017-07-06 13:10:04.143
"3,2889","3,2895",2017-07-07 13:10:59.626
"3,2644","3,265",2017-07-10 13:04:58.325
"3,2516","3,2522",2017-07-11 13:07:42.2
"3,2258","3,2264",2017-07-12 13:05:55.372
"3,2102","3,2108",2017-07-13 13:03:24.642
"3,1893","3,1899",2017-07-14 13:08:48.555
"3,1815","3,1821",2017-07-17 13:06:09.489
"3,1662","3,1668",2017-07-18 13:04:08.526
"3,1527","3,1533",2017-07-19 13:03:40.198
"3,1396","3,1402",2017-07-20 13:11:38.587
"3,125","3,1256",2017-07-21 13:06:09.241
"3,1453","3,1459",2017-07-24 13:03:28.355
"3,155","3,1556",2017-07-25 13:09:53.994
"3,1651","3,1657",2017-07-26 13:05:57.227
"3,1507","3,1513",2017-07-27 13:02:54.362
"3,1451","3,1457",2017-07-28 13:09:51.799
"3,1301","3,1307",2017-07-31 13:03:36.031
"3,1154","3,1161",2017-08-01 13:08:39.907
"3,1262","3,1268",2017-08-02 13:07:58.487
"3,1188","3,1194",2017-08-03 13:09:48.89
"3,1218","3,1224",2017-08-04 13:12:10.418
"3,1261","3,1267",2017-08-07 13:11:31.189
"3,1314","3,132",2017-08-08 13:06:34.439
